Poster_Link,Series_Title,Genre,Director,text-prep-stem
"https://m.media-amazon.com/images/M/MV5BMTk4NDQ0NjgyNF5BMl5BanBnXkFtZTgwMTE3NTkxMTE@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lost Weekend,"Drama, Film-Noir",Billy Wilder,drama filmnoir desper life chronic alcohol follow fourday drink bout billi wilder ray milland jane wyman phillip terri howard da silva
"https://m.media-amazon.com/images/M/MV5BYjQ4ZDA4NGMtMTkwYi00NThiLThhZDUtZTEzNTAxOWYyY2E4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Philadelphia Story,"Comedy, Romance",George Cukor,comedi romanc rich woman exhusband tabloidtyp report turn plan remarriag begin learn truth georg cukor cari grant katharin hepburn jame stewart ruth hussey
"https://m.media-amazon.com/images/M/MV5BZDVmZTZkYjMtNmViZC00ODEzLTgwNDAtNmQ3OGQwOWY5YjFmXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX67_CR0,0,67,98_AL_.jpg",His Girl Friday,"Comedy, Drama, Romance",Howard Hawks,comedi drama romanc newspap editor use everi trick book keep ace report exwif remarri howard hawk cari grant rosalind russel ralph bellami gene lockhart
"https://m.media-amazon.com/images/M/MV5BYjZjOTU3MTMtYTM5YS00YjZmLThmNmMtODcwOTM1NmRiMWM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",The Adventures of Robin Hood,"Action, Adventure, Romance",Michael Curtiz,action adventur romanc princ john norman lord begin oppress saxon mass king richard absenc saxon lord fight back outlaw leader rebel guerrilla armi michael curtiz william keighley errol flynn olivia de havilland basil rathbon
"https://m.media-amazon.com/images/M/MV5BYTJmNmQxNGItNDNlMC00MDU3LWFhNzMtZDQ2NDY0ZTVkNjE3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",A Night at the Opera,"Comedy, Music, Musical",Sam Wood,comedi music music sli busi manag two wacki friend two opera singer help achiev success humili stuffi snobbish enemi sam wood edmund gould groucho marx chico marx harpo marx
"https://m.media-amazon.com/images/M/MV5BZTY3YjYxZGQtMTM2YS00ZmYwLWFlM2QtOWFlMTU1NTAyZDQ2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX67_CR0,0,67,98_AL_.jpg",King Kong,"Adventure, Horror, Sci-Fi",Merian C. Cooper,adventur horror scifi film crew goe tropic island exot locat shoot discov coloss ape take shine femal blond star captur brought back new york citi public exhibit merian c cooper ernest b schoedsack fay wray robert armstrong bruce cabot
"https://m.media-amazon.com/images/M/MV5BMjMyYjgyOTQtZDVlZS00NTQ0LWJiNDItNGRlZmM3Yzc0N2Y0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",Freaks,"Drama, Horror",Tod Browning,drama horror circus beauti trapez artist agre marri leader sideshow perform deform friend discov marri inherit tod brown wallac ford leila hyam olga baclanova rosco ate
"https://m.media-amazon.com/images/M/MV5BMTAxYjEyMTctZTg3Ni00MGZmLWIxMmMtOGM2NTFiY2U3MmExXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Nosferatu,"Fantasy, Horror",F.W. Murnau,fantasi horror vampir count orlok express interest new resid real estat agent hutter wife fw murnau max schreck alexand granach gustav von wangenheim greta schröder
"https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Gentlemen,"Action, Comedy, Crime",Guy Ritchie,action comedi crime american expat tri sell high profit marijuana empir london trigger plot scheme briberi blackmail attempt steal domain guy ritchi matthew mcconaughey charli hunnam michell dockeri jeremi strong
"https://m.media-amazon.com/images/M/MV5BZmVhN2JlYjEtZWFkOS00YzE0LThiNDMtMGI3NDA1MTk2ZDQ2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",Raazi,"Action, Drama, Thriller",Meghna Gulzar,action drama thriller kashmiri woman agre marri pakistani armi offic order spi pakistan indopakistan war meghna gulzar alia bhatt vicki kaushal rajit kapoor shishir sharma
